chain,scenario,time_h,parent_fraction,intermediate_fraction,daughter_fraction,daughter_fraction_per_natural_element_atom
Pd_to_Ag,liquid_standard_same_source,2880,0.9999148722289782,5.729772689473583e-07,8.455479375281725e-05,2.2373198426995444e-05
Pd_to_Ag,liquid_standard_same_source,8760,0.9997410921971815,5.72877688462277e-07,0.000258334925129991,6.835542118939562e-05
Pd_to_Ag,liquid_hypothesis_source_x10,0,1.0,0.0,0.0,0.0
Pd_to_Ag,liquid_hypothesis_source_x10,6,0.999998226430852,1.5253553105382055e-06,2.4821383745100134e-07,6.567738138953496e-08
Pd_to_Ag,liquid_hypothesis_source_x10,12,0.9999964528648496,2.644668377282524e-06,9.024667731009942e-07,2.387927081625231e-07
Pd_to_Ag,liquid_hypothesis_source_x10,24,0.9999929057422814,4.068739144141718e-06,3.0255185744677798e-06,8.005522148041746e-07
Pd_to_Ag,liquid_hypothesis_source_x10,48,0.9999858115348912,5.2484501770453305e-06,8.940014931765557e-06,2.3655279509451664e-06
Pd_to_Ag,liquid_hypothesis_source_x10,72,0.9999787173778292,5.590481131059099e-06,1.5692141039767117e-05,4.152140519122379e-06
Pd_to_Ag,liquid_hypothesis_source_x10,168,0.9999503412528553,5.729018158995464e-06,4.392972898569197e-05,1.1623806289614095e-05
Pd_to_Ag,liquid_hypothesis_source_x10,336,0.9999006849717018,5.72972077219138e-06,9.358530752599446e-05,2.4762672371378136e-05
Pd_to_Ag,liquid_hypothesis_source_x10,720,0.9997871941598854,5.7290706070386075e-06,0.0002070767695075885,5.479251321170792e-05
Pd_to_Ag,liquid_hypothesis_source_x10,1440,0.9995744336060962,5.727851427355001e-06,0.0004198385424764318,0.00011108927833926385
Pd_to_Ag,liquid_hypothesis_source_x10,2880,0.9991490483189481,5.725413846278245e-06,0.000845226267205592,0.00022364687030259963
Pd_to_Ag,liquid_hypothesis_source_x10,8760,0.9974139363863727,5.7154711516419195e-06,0.002580348142475701,0.0006827601184990705
